"","X","CHROM","BIN_START","BIN_END","West_vs_East_Fst","West_vs_resident_Fst","East_vs_resident_Fst","migrant_vs_resident_Fst","East_vs_texas_Fst","West_vs_texas_Fst","migrant_pi","resident_pi","West_vs_Florida_FST","East_vs_Florida_FST","Texas_vs_Florida_FST","East_sub_vs_Puerto_Rico_FST","Auto_Allo","Chr_number"
"11923",11922,"DPSCF300114",120001,130000,0.000551095254,0.0143995599196,0.014527746521,0.003060241161,0.010556914184,0.0106681164277,0.0124835139,0.0100751647,0.020902165192,0.021397911057,0.0006164016308,0.00308450856,"A",16
"11912",11911,"DPSCF300114",10001,20000,0.0005799861461,0.0119203890892,0.012018996372,0.002696951748,0.008796061333,0.00893465405,0.0101120859,0.0080130728,0.016694095475,0.016352433666,0.0005620836484,0.0026551653,"A",16
"11925",11924,"DPSCF300114",140001,150000,0.0008551726662,0.013194150245,0.013501369128,0.002601095299,0.010171436822,0.0100825987874,0.0122340661,0.0095143797,0.01853270901,0.017903695355,0.0010809683094,0.0083551103,"A",16
"11930",11929,"DPSCF300114",190001,2e+05,0.0009784732759,0.0082833495912,0.008657478548,0.002323811967,0.0066461118796,0.0064343859231,0.0101593368,0.0067437905,0.013512479429,0.014523631368,0.0012410768584,0.00618177592,"A",16
"9785",9784,"DPSCF300082",780001,790000,0.00135281340629,0.00276903773764,0.002192416189,0.002240493094,0.00163282486,0.0017767075707,0.0108395524,0.0119307155,0.0033431882818,0.002442987955,0.00322936418036,0.0073171464,"A",14
"3565",3564,"DPSCF300022",930001,940000,0.001299047794,0.00264899149664,0.001770624566,0.002140091518,0.001005127711,0.0013717656121,0.0084219715,0.007098691,0.0024326330779,0.002123351224,0.00292309442,0.00427414922,"A",19
"12271",12270,"DPSCF300118",400001,410000,0.001139286269,0.002562240849,0.0018797681974,0.002118960047,0.0010653317129,0.0014491873494,0.0094999933,0.0109117624,0.0028309942121,0.001947839717,0.0022191399489,0.00228239517,"A",3
"1457",1456,"DPSCF300010",450001,460000,0.0014363467781,0.0028256566817,0.002795726065,0.002112562801,0.001919524665,0.0019180206573,0.0139593308,0.0142339858,0.003086512323,0.002223378271,0.00283900208972,0.00849800333,"A",4
"11949",11948,"DPSCF300114",380001,390000,0.000957477729,0.00833070178839,0.008632172607,0.002111606008,0.006704934191,0.0063175299814,0.011238457,0.0087758161,0.0111310412685,0.011789394916,0.0012967168698,0.00419993187,"A",16
"17187",17186,"DPSCF300218",390001,4e+05,0.00094585131386,0.0020746152428,0.001851457446,0.002101303115,0.001204532528,0.0012209560383,0.0088681251,0.0097084948,0.0027610881258,0.002767850343,0.0028275490834,0.0118011354,"A",26
"20550",20549,"DPSCF300322",360001,370000,0.001168274864,0.00912454283,0.010117053955,0.0020841130042,0.0079028900712,0.0069758470579,0.0113648326,0.0084392145,0.0114904311859,0.01429515385,0.001558927565,NA,"A",16
"14629",14628,"DPSCF300163",160001,170000,0.001184048012,0.0026005876586,0.002142934999,0.002079809732,0.0013386297808,0.0014503352016,0.0102274662,0.0108287567,0.002475784647,0.002312398165,0.00236621329716,0.0079322589,"A",24
"11918",11917,"DPSCF300114",70001,80000,0.0005172325105,0.0088103817,0.009084131414,0.00207960749,0.006583034322,0.0065192455207,0.0080351619,0.0061261448,0.0171959301279,0.01677280272,0.0006663015782,0.00189377,"A",16
"2693",2692,"DPSCF300016",660001,670000,0.0010905302737,0.0031141025124,0.0025316197366,0.002073188018,0.001592550326,0.0017579111132,0.0097571355,0.0108633976,0.002722713576,0.00187387035,0.0027953280464,0.00453150925,"A",2
"19641",19640,"DPSCF300286",170001,180000,0.0012601928416,0.0026649935197,0.002084542104,0.00206751893,0.0013543019473,0.0016719003629,0.011140651,0.0124176447,0.0034718162737,0.003033925619,0.0043913390863,NA,"A",22
"1600",1599,"DPSCF300010",1880001,1890000,0.0013870942917,0.0028552662859,0.002273645408,0.002052414358,0.0014550613301,0.001749391088,0.0099571353,0.0106300636,0.003957719495,0.002561531775,0.00324467054566,0.00738273446,"A",4
"11927",11926,"DPSCF300114",160001,170000,0.0012142546981,0.0088171953508,0.009437906631,0.002043137651,0.007327633067,0.0067979486246,0.0113538418,0.0079745082,0.012799144195,0.01388742197,0.00114734974916,0.0129916658,"A",16
"12265",12264,"DPSCF300118",340001,350000,0.00126587143572,0.0028187545257,0.002645179866,0.00203797396,0.0018655591086,0.0016953124164,0.0123868049,0.0145254879,0.0029080830078,0.002194423375,0.0031059709952,0.01238730811,"A",3
"18918",18917,"DPSCF300262",270001,280000,0.00118610648826,0.0025444845795,0.002286120025,0.002028894987,0.00177315017791,0.001694677456,0.0104197728,0.0120679716,0.0028033982558,0.00279124326,0.00280964441076,NA,"A",14
"14716",14715,"DPSCF300165",250001,260000,0.00132822520656,0.0021541413343,0.0016382844548,0.002028119388,0.001168154781,0.0014017318632,0.0110615309,0.0129418278,0.002880211404,0.002346413567,0.0028549562388,0.00793055658,"A",26
"18722",18721,"DPSCF300256",350001,360000,0.0012745240986,0.0024595270746,0.002060344179,0.002027219641,0.0014318061411,0.0015755540213,0.0130098816,0.0150660117,0.0028323942371,0.00228928786,0.002891269484,NA,"A",29
"11937",11936,"DPSCF300114",260001,270000,0.00074711465626,0.0070751826626,0.007235536054,0.00200569277,0.005532275306,0.0054042287121,0.0095966993,0.0058496724,0.009505768655,0.009926893348,0.0011246479925,0.00599718552,"A",16
"11924",11923,"DPSCF300114",130001,140000,0.000739085295,0.006347358709,0.006774848534,0.002000430075,0.0049932417726,0.0046486757944,0.0068780183,0.0051993466,0.014769861977,0.014658190555,0.00086965264,0.00389021879,"A",16
"1128",1127,"DPSCF300008",900001,910000,0.00112779338404,0.002521130271,0.0020444061049,0.001997219145,0.00123108339769,0.0012543667088,0.0092362571,0.0101862723,0.0031083258861,0.002627435364,0.002452142277,0.00369130606,"A",18
"20351",20350,"DPSCF300313",90001,1e+05,0.001096297493,0.0024952971764,0.002033081205,0.001989326006,0.0012838355329,0.0014667187456,0.0107977942,0.0119006514,0.0030700691283,0.002275948626,0.002750587007,NA,"A",17
"5654",5653,"DPSCF300041",90001,1e+05,0.00099563890346,0.0024692574902,0.002007213429,0.001981531185,0.0012478602479,0.0013804563048,0.0087120821,0.0103816964,0.0030142479788,0.00214153908,0.0023561755748,0.00728648748,"A",4
"2669",2668,"DPSCF300016",420001,430000,0.00119332641085,0.00277729979429,0.0025588504064,0.001976829193,0.001496370717,0.0015393753919,0.0099758175,0.0103176459,0.002864163391,0.002290528793,0.0027577912219,0.00516577212,"A",2
"4324",4323,"DPSCF300029",740001,750000,0.00139230524586,0.0027221828342,0.0019721176455,0.001958949835,0.0012729492728,0.0015994206779,0.0103395528,0.0111575147,0.0034548689403,0.002523938418,0.00273669397586,0.00446407005,"A",6
"11926",11925,"DPSCF300114",150001,160000,0.000921463362,0.0086648383998,0.009077995963,0.00194897701,0.007188868492,0.0068001406508,0.0103131826,0.007481045,0.0163888402669,0.017025884399,0.0012860642166,0.012921287,"A",16
"18165",18164,"DPSCF300239",220001,230000,0.0015456837775,0.0026742163195,0.002064708435,0.001945593564,0.001578056367,0.0016935222365,0.0105571351,0.0103307162,0.0030543846135,0.00279162999,0.00303839403672,NA,"A",20
"21578",21577,"DPSCF300371",120001,130000,0.0014497700764,0.0026810131965,0.0018606267577,0.001945354162,0.001407273261,0.0015171109075,0.0103065857,0.0112385591,0.0034776577532,0.002677234687,0.00251044807186,NA,"A",15
"21877",21876,"DPSCF300392",70001,80000,0.001529066088,0.0027366353196,0.002423310447,0.001942273341,0.001693964395,0.0016262295215,0.0128384527,0.0132032661,0.003928443893,0.0035049863295,0.00262959599726,NA,"A",30
"11453",11452,"DPSCF300106",500001,510000,0.0013440668405,0.0029145711088,0.001832419192,0.00193565301,0.0011425235986,0.0015251486761,0.0115988923,0.011854899,0.0034709996277,0.0025687778895,0.0031639850973,0.00407865946,"A",9
