Scaffold	Length
DPSCF300001	6243218
DPSCF300002	1830065
DPSCF300003	1815366
DPSCF300004	1756756
DPSCF300005	1509748
DPSCF300006	1953394
DPSCF300007	1499987
DPSCF300008	1575543
DPSCF300009	2153648
DPSCF300010	3672573
DPSCF300011	1390326
DPSCF300012	1364361
DPSCF300013	1808464
DPSCF300014	2585332
DPSCF300015	1301962
DPSCF300016	1342045
DPSCF300017	1813048
DPSCF300018	1382065
DPSCF300019	1178572
DPSCF300020	1221402
DPSCF300021	1477362
DPSCF300022	1983230
DPSCF300023	1085788
DPSCF300024	1022177
DPSCF300025	1020522
DPSCF300026	1171133
DPSCF300027	1459055
DPSCF300028	1864814
DPSCF300029	1308455
DPSCF300030	1304796
DPSCF300031	1091598
DPSCF300032	1070862
DPSCF300033	1277267
DPSCF300034	1175897
DPSCF300035	1540557
DPSCF300036	956519
DPSCF300037	925795
DPSCF300038	1356559
DPSCF300039	954972
DPSCF300040	954994
DPSCF300041	2363446
DPSCF300042	1794263
DPSCF300043	1135066
DPSCF300044	1126962
DPSCF300045	973409
DPSCF300046	938901
DPSCF300047	857383
DPSCF300048	2044560
DPSCF300049	841047
DPSCF300050	926102
DPSCF300051	834462
DPSCF300052	1070787
DPSCF300053	1376582
DPSCF300054	946132
DPSCF300055	922562
DPSCF300056	833387
DPSCF300057	945418
DPSCF300058	743157
DPSCF300059	742841
DPSCF300060	741593
DPSCF300061	1318231
DPSCF300062	724680
DPSCF300063	1126141
DPSCF300064	1946020
DPSCF300065	715606
DPSCF300066	711328
DPSCF300067	883438
DPSCF300068	704233
DPSCF300069	703220
DPSCF300070	916090
DPSCF300071	974371
DPSCF300072	1294070
DPSCF300073	916279
DPSCF300074	676579
DPSCF300075	657597
DPSCF300076	922154
DPSCF300077	952369
DPSCF300078	1065982
DPSCF300079	939543
DPSCF300080	626656
DPSCF300081	624962
DPSCF300082	1360402
DPSCF300083	617440
DPSCF300084	612630
DPSCF300085	609027
DPSCF300086	773155
DPSCF300087	606879
DPSCF300088	1299390
DPSCF300089	610512
DPSCF300090	836178
DPSCF300091	747294
DPSCF300092	594432
DPSCF300093	594161
DPSCF300094	626861
DPSCF300095	819609
DPSCF300096	633311
DPSCF300097	578106
DPSCF300098	823942
DPSCF300099	726929
DPSCF300100	559321
DPSCF300101	549235
DPSCF300102	547358
DPSCF300103	545811
DPSCF300104	653664
DPSCF300105	543736
DPSCF300106	540191
DPSCF300107	537674
DPSCF300108	1058652
DPSCF300109	554447
DPSCF300110	531716
DPSCF300111	670234
DPSCF300112	524456
DPSCF300113	620120
DPSCF300114	516792
DPSCF300115	983066
DPSCF300116	515509
DPSCF300117	1171418
DPSCF300118	510459
DPSCF300119	529550
